index,pot_id,title,category,score,num_comments,author,collected_at
0,47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,698,569,firloop,2026-04-04 15:46:30
1,47594936,GitHub has DMCA'd nearly all forks of the official Claude-code repo,technology,8,7,cg505,2026-04-04 15:46:39
2,47633131,"Run Linux containers on Android, no root required",technology,127,42,politelemon,2026-04-04 15:46:40
3,47621792,Post Mortem: axios NPM supply chain compromise,technology,259,116,Kyro38,2026-04-04 15:46:41
4,47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,310,118,denssumesh,2026-04-04 15:46:45
5,47622616,The Technocracy Movement of the 1930s,technology,101,87,lazydogbrownfox,2026-04-04 15:46:47
6,47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,technology,70,31,borski,2026-04-04 15:46:52
7,47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,52,21,eichin,2026-04-04 15:46:59
9,47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,399,117,detaro,2026-04-04 15:47:06
10,47625952,Show HN: I built a frontpage for personal blogs,entertainment,712,181,ramkarthikk,2026-04-04 15:47:08
11,47609492,50 years measuring the cleanest air,technology,13,1,defrost,2026-04-04 15:47:12
12,47624645,Show HN: Apfel – The free AI already on your Mac,technology,679,141,franze,2026-04-04 15:47:14
13,47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,195,91,upofadown,2026-04-04 15:47:16
14,47633640,How to Write Unmaintainable Code (1999),technology,40,10,downbad_,2026-04-04 15:47:17
15,47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,97,38,hpscript,2026-04-04 15:47:19
16,47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,42,51,luca-ctx,2026-04-04 15:47:24
17,47587339,DCJ11Hack+ – DEC PDP/11 based homebrew computer,technology,26,0,zdw,2026-04-04 15:47:29
18,47579818,What we learned building 100 API integrations with OpenCode,technology,96,21,rguldener,2026-04-04 15:47:31
19,47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,32,19,sagirodin,2026-04-04 15:47:32
20,47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,168,64,MaximilianEmel,2026-04-04 15:47:34
